  PID  PPID  PGID   UID USER             STAT     ELAPSED COMMAND
 1067     1  1066   501 oopslink         S    27-06:05:20 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/150.0.7871.187/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/oopslink/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/oopslink/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=150.0.7871.187 --handshake-fd=5
 1076  1065  1065   501 oopslink         S    27-06:05:19 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/150.0.7871.187/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=79c854f2-897a-4a0b-a8ab-e81ca42dd019 --gpu-preferences=UAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAOAAAAAAAAAADAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAABgAAAAAAAAAGAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,528456235093024063,11895653253921515278,262144 --field-trial-handle=1718379636,r,14085883481040178380,10169162091798401575,262144 --variations-seed-version=20260719-030032.854000-production --pseudonymization-salt-handle=1935764596,r,9931530253442875779,10762832627523070970,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=20
 1078  1065  1065   501 oopslink         S    27-06:05:19 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/150.0.7871.187/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=zh-CN --service-sandbox-type=service --metrics-client-id=79c854f2-897a-4a0b-a8ab-e81ca42dd019 --shared-files --metrics-shmem-handle=1752395122,r,11965983171870281095,8396765968198282546,524288 --field-trial-handle=1718379636,r,14085883481040178380,10169162091798401575,262144 --variations-seed-version=20260719-030032.854000-production --pseudonymization-salt-handle=1935764596,r,9931530253442875779,10762832627523070970,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=32
 1153     1  1153     0 root             Ss   01-03:05:33 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
 1175     1  1175   501 oopslink         R    27-06:04:23 /Applications/Clash Verge.app/Contents/MacOS/clash-verge
 1187     1  1187   501 oopslink         Ss   27-06:04:23 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
 1188     1  1188   501 oopslink         Ss   27-06:04:23 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
 1189     1  1189   501 oopslink         Rs   27-06:04:23 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 1190     1  1190   501 oopslink         S    27-06:04:23 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
 1191  1175  1175   501 oopslink         S    27-06:04:23 /Applications/Clash Verge.app/Contents/MacOS/verge-mihomo -d /Users/oopslink/Library/Application Support/io.github.clash-verge-rev.clash-verge-rev -f /Users/oopslink/Library/Application Support/io.github.clash-verge-rev.clash-verge-rev/clash-verge.yaml -ext-ctl-unix /tmp/verge/verge-mihomo.sock
 1574     1  1574     0 root             Ss   27-06:04:13 /usr/libexec/wifivelocityd
 1584     1  1584   501 oopslink         S    27-06:04:08 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 1618     1  1618   501 oopslink         S    27-06:04:00 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributionagent
